prompt_id,layer,attn_to_1,attn_to_2,mlp_to_1,mlp_to_2,total_to_1,total_to_2
p001,18,0.55419921875,0.1817626953125,-0.09893798828125,0.2244873046875,0.455810546875,0.4072265625
p001,25,-1.24609375,-0.56396484375,1.1953125,1.5556640625,-0.04681396484375,0.99609375
p001,33,13.7890625,14.4375,30.4375,27.15625,44.21875,41.5625
p001,34,51.9375,47.875,45.34375,49.5,97.25,97.375
p001,35,41.625,42.40625,136.375,131.25,178.0,173.625
p002,18,0.35107421875,-0.194091796875,-0.060699462890625,0.336181640625,0.288818359375,0.140869140625
p002,25,-0.4951171875,-0.1903076171875,1.09375,1.4638671875,0.60009765625,1.2763671875
p002,33,11.875,13.4765625,37.6875,35.78125,49.5625,49.25
p002,34,64.9375,60.78125,47.34375,62.4375,112.3125,123.25
p002,35,48.125,51.65625,169.875,162.375,218.0,214.0
p003,18,-0.064697265625,0.0623779296875,-0.76220703125,-0.302001953125,-0.826171875,-0.239013671875
p003,25,-2.8359375,-2.30078125,-0.06451416015625,0.09259033203125,-2.900390625,-2.208984375
p003,33,-0.51171875,-0.828125,16.796875,10.125,16.28125,9.296875
p003,34,42.1875,41.59375,20.3125,10.2734375,62.46875,51.875
p003,35,33.0625,33.875,57.65625,65.4375,90.75,99.3125
p004,18,-0.447265625,-0.422607421875,-0.2208251953125,-0.2410888671875,-0.66845703125,-0.66455078125
p004,25,-2.8828125,-2.306640625,0.84521484375,1.5068359375,-2.037109375,-0.798828125
p004,33,1.6025390625,4.93359375,22.515625,22.296875,24.125,27.21875
p004,34,51.3125,46.84375,43.71875,44.40625,95.0625,91.25
p004,35,48.0625,47.46875,117.125,111.6875,165.25,159.25
p005,18,0.62158203125,-0.052215576171875,-0.310546875,0.564453125,0.312255859375,0.513671875
p005,25,-1.4951171875,-0.568359375,0.92919921875,1.205078125,-0.56787109375,0.634765625
p005,33,7.9609375,11.96875,25.546875,25.46875,33.5,37.4375
p005,34,31.8125,30.765625,43.8125,64.625,75.625,95.375
p005,35,45.75,51.34375,136.25,146.25,182.0,197.5
p006,18,0.52685546875,0.1328125,-0.68505859375,0.06744384765625,-0.1575927734375,0.20068359375
p006,25,-1.6044921875,-0.740234375,-0.2359619140625,-0.568359375,-1.8369140625,-1.306640625
p006,33,9.328125,11.6171875,30.765625,30.21875,40.09375,41.84375
p006,34,33.3125,34.3125,49.75,64.9375,83.0625,99.25
p006,35,45.65625,53.1875,150.625,163.75,196.25,217.0
p007,18,0.220703125,-0.386474609375,0.62744140625,1.04296875,0.85009765625,0.658203125
p007,25,-1.41796875,-0.59130859375,1.0126953125,1.0693359375,-0.40478515625,0.478515625
p007,33,11.328125,14.1875,35.40625,32.53125,46.71875,46.71875
p007,34,50.1875,47.15625,58.53125,61.28125,108.6875,108.4375
p007,35,50.4375,47.15625,141.0,135.75,191.5,182.875
p008,18,0.029876708984375,0.1533203125,0.267822265625,0.296142578125,0.297607421875,0.44921875
p008,25,-4.16015625,-2.8046875,1.388671875,1.6142578125,-2.771484375,-1.1904296875
p008,33,14.2578125,13.9140625,13.453125,10.9296875,27.71875,24.859375
p008,34,48.59375,44.28125,11.984375,17.296875,60.5625,61.59375
p008,35,45.21875,43.15625,84.5,82.0,129.75,125.125
p009,18,0.51123046875,-0.09552001953125,-0.63037109375,0.0816650390625,-0.1197509765625,-0.01413726806640625
p009,25,-1.421875,-0.1488037109375,0.377197265625,0.95263671875,-1.04296875,0.80615234375
p009,33,9.7421875,12.96875,35.59375,33.1875,45.34375,46.15625
p009,34,40.9375,40.625,55.46875,64.25,96.375,104.875
p009,35,48.71875,52.375,179.0,179.125,227.625,231.375
p010,18,-0.1314697265625,0.04736328125,-0.234619140625,-0.11859130859375,-0.366455078125,-0.07171630859375
p010,25,-2.943359375,-2.51953125,1.41015625,1.5087890625,-1.5361328125,-1.01171875
p010,33,6.671875,6.25,18.578125,12.875,25.25,19.125
p010,34,55.40625,49.6875,24.53125,18.75,79.9375,68.4375
p010,35,43.78125,40.71875,83.4375,89.4375,127.25,130.125
p011,18,0.1781005859375,-0.56884765625,-0.15185546875,0.294677734375,0.0256195068359375,-0.27490234375
p011,25,-1.70703125,-1.21875,0.1370849609375,0.03082275390625,-1.5693359375,-1.1865234375
p011,33,11.40625,15.25,30.421875,31.0625,41.84375,46.3125
p011,34,63.3125,62.0625,53.0,78.75,116.3125,140.75
p011,35,42.09375,50.25,155.0,150.75,197.125,201.0
p012,18,0.316162109375,-0.2998046875,-0.6923828125,-0.0305938720703125,-0.3759765625,-0.33056640625
p012,25,-1.2744140625,-0.30810546875,-0.59912109375,-0.1685791015625,-1.8759765625,-0.4794921875
p012,33,12.78125,15.6484375,30.984375,28.1875,43.78125,43.84375
p012,34,42.0625,40.71875,54.0625,58.0625,96.125,98.8125
p012,35,50.875,51.15625,169.375,164.0,220.25,215.25
p013,18,0.27294921875,-0.298828125,-0.1259765625,0.259765625,0.14599609375,-0.04034423828125
p013,25,-1.2421875,-0.2457275390625,1.28515625,1.75390625,0.041900634765625,1.5068359375
p013,33,8.3359375,12.21875,34.65625,32.0625,42.96875,44.28125
p013,34,47.46875,44.0,54.71875,62.1875,102.1875,106.1875
p013,35,41.625,41.6875,155.875,150.625,197.5,192.375
p014,18,-0.1905517578125,-0.18701171875,-0.3583984375,-0.2080078125,-0.55029296875,-0.39599609375
p014,25,-1.849609375,-1.5556640625,-0.343505859375,-0.10516357421875,-2.19140625,-1.6611328125
p014,33,6.296875,7.6640625,21.890625,13.765625,28.1875,21.4375
p014,34,45.75,40.1875,32.15625,12.7578125,77.9375,52.9375
p014,35,46.34375,39.0,61.21875,61.5,107.5625,100.5
p015,18,-0.073974609375,-0.2578125,-0.60693359375,0.0592041015625,-0.681640625,-0.198974609375
p015,25,-1.869140625,-1.23828125,1.1298828125,1.095703125,-0.7392578125,-0.1439208984375
p015,33,4.07421875,4.9921875,18.578125,12.1796875,22.640625,17.15625
p015,34,40.5625,39.03125,23.9375,22.921875,64.5,61.96875
p015,35,38.0625,42.09375,63.84375,65.5625,101.9375,107.6875
p016,18,-0.1793212890625,-0.2054443359375,-0.86181640625,-0.325439453125,-1.0400390625,-0.52978515625
p016,25,-2.154296875,-1.6640625,0.89208984375,1.5322265625,-1.259765625,-0.1300048828125
p016,33,2.33984375,3.435546875,17.703125,12.5,20.046875,15.9296875
p016,34,54.09375,47.125,18.0,16.546875,72.125,63.6875
p016,35,38.46875,38.28125,58.46875,58.21875,96.9375,96.5
p017,18,0.046356201171875,-0.340087890625,0.2548828125,0.5361328125,0.301513671875,0.1964111328125
p017,25,-1.0185546875,-0.23828125,1.5986328125,1.779296875,0.57763671875,1.5400390625
p017,33,9.8515625,14.0390625,29.875,28.03125,39.71875,42.0625
p017,34,71.9375,67.5,50.625,59.0,122.5625,126.5
p017,35,46.8125,49.25,151.0,143.5,197.875,192.625
p018,18,0.6513671875,0.185546875,-0.67333984375,0.12322998046875,-0.020477294921875,0.31005859375
p018,25,-1.326171875,-0.212646484375,0.7119140625,0.69140625,-0.6162109375,0.475341796875
p018,33,13.359375,15.2734375,28.984375,28.796875,42.34375,44.09375
p018,34,46.03125,43.25,49.96875,68.25,96.0,111.5
p018,35,47.96875,53.125,155.625,158.0,203.625,211.125
p019,18,0.1551513671875,0.2861328125,-0.1422119140625,-0.03680419921875,0.0137786865234375,0.250244140625
p019,25,-3.306640625,-3.095703125,0.6318359375,1.4375,-2.677734375,-1.6591796875
p019,33,5.48046875,9.359375,27.875,26.75,33.34375,36.09375
p019,34,52.34375,49.5,32.3125,39.03125,84.6875,88.5625
p019,35,38.625,38.6875,106.0625,103.3125,144.625,142.0
p020,18,0.1070556640625,0.1290283203125,-0.61083984375,-0.4716796875,-0.50439453125,-0.343505859375
p020,25,-2.583984375,-2.494140625,0.6796875,1.0966796875,-1.9033203125,-1.3994140625
p020,33,9.671875,12.90625,35.53125,33.5,45.21875,46.40625
p020,34,62.875,59.46875,42.375,43.40625,105.25,102.875
p020,35,42.125,40.21875,131.125,126.6875,173.25,166.875
